id,nome,livello,lv_premium,exp_required,special_attack_name,special_attack_damage,special_attack_mana_cost,price,description,character_group,max_concurrent_owners,is_pokemon
1,Chocobo,1,0,100,Beak Peck,20,10,0,Il chocobo di Final Fantasy,Final Fantasy,-1,0
2,Pichu,1,2,100,Thunder Shock,22,12,200,Il baby Pokemon elettrico,Pokemon,3,1
3,Slime,1,2,100,Bounce,18,8,150,Lo slime di Dragon Quest,Dragon Quest,3,0
4,Pikachu,2,1,235,Thunderbolt,35,15,0,Il Pokemon simbolo (Premium),Pokemon,3,1
5,Bulbasaur,2,2,235,Vine Whip,32,14,250,Lo starter erba,Pokemon,3,1
6,Squirtle,2,2,235,Water Gun,32,14,250,Lo starter acqua,Pokemon,3,1
7,Charmander,2,2,235,Ember,32,14,250,Lo starter fuoco,Pokemon,3,1
8,Crash Bandicoot,3,0,505,Spin Attack,45,18,0,L'eroe marsupiale,Crash Bandicoot,1,0
9,Spyro,3,2,505,Flame Breath,48,20,400,Il draghetto viola,Spyro,1,0
10,Sonic,3,1,505,Sonic Spin,50,22,0,Il riccio blu veloce (Premium),Sonic,1,0
11,Mario,4,1,810,Fire Ball,60,28,0,L'idraulico italiano (Premium),Super Mario,1,0
12,Raichu,4,2,810,Thunder,55,25,500,L'evoluzione di Pikachu,Pokemon,3,1
13,Luigi,4,2,810,Thunder Hand,58,26,600,Il fratello di Mario,Super Mario,1,0
14,Ratchet,5,2,1250,OmniWrench,65,30,700,Il lombax meccanico,Ratchet & Clank,1,0
15,Clank,5,2,1250,Time Bomb,62,28,650,Il robot assistente,Ratchet & Clank,1,0
16,Jak,5,1,1250,Morph Gun,70,32,0,L'eroe eco (Premium),Jak and Daxter,1,0
17,Ivysaur,6,2,1725,Razor Leaf,72,34,750,L'evoluzione di Bulbasaur,Pokemon,3,1
18,Wartortle,6,2,1725,Bubble Beam,72,34,750,L'evoluzione di Squirtle,Pokemon,3,1
19,Charmeleon,6,2,1725,Flamethrower,72,34,750,Il Pokemon fuoco evoluto,Pokemon,3,1
20,Tails,6,1,1725,Tail Swipe,75,36,0,La volpe a due code (Premium),Sonic,1,0
21,Link,7,1,2335,Master Sword,90,42,0,L'eroe di Hyrule (Premium),Zelda,1,0
22,Venusaur,7,2,2335,Solar Beam,85,40,900,Il Pokemon erba finale,Pokemon,3,1
23,Blastoise,7,2,2335,Hydro Pump,85,40,900,Il Pokemon acqua finale,Pokemon,3,1
24,Charizard,7,2,2335,Fire Blast,85,40,900,Il drago di fuoco,Pokemon,3,1
25,Cloud,8,1,2980,Omnislash,105,50,0,Il soldato SOLDIER (Premium),Final Fantasy,1,0
26,Samus,8,2,2980,Charge Beam,100,48,1000,La cacciatrice galattica,Metroid,1,0
27,Zelda,8,2,2980,Light Arrow,98,46,950,La principessa di Hyrule,Zelda,1,0
28,Spiderman,9,1,3760,Web Strike,115,54,0,L'arrampicamuri (Premium),Marvel,1,0
29,Squall,9,2,3760,Renzokuken,110,52,1100,Il SeeD di FFVIII,Final Fantasy,1,0
30,Knuckles,9,2,3760,Power Punch,108,51,1050,L'echidna rosso,Sonic,1,0
31,Tidus,10,1,4575,Blitz Ace,125,58,0,L'eroe di FFX (Premium),Final Fantasy,1,0
32,Batman,10,2,4575,Batarang,120,56,1200,Il cavaliere oscuro,DC Comics,1,0
33,Ganondorf,10,2,4575,Dark Magic,118,55,1150,Il re del male,Zelda,1,0
34,Dante,11,1,5525,Devil Trigger,135,62,0,Il cacciatore di demoni (Premium),Devil May Cry,1,0
35,Iron Man,11,2,5525,Repulsor Ray,130,60,1300,L'uomo d'acciaio,Marvel,1,0
36,Shadow,11,2,5525,Chaos Spear,128,59,1250,Il riccio nero,Sonic,1,0
37,Kratos,12,1,6510,Spartan Rage,145,66,0,Il dio della guerra (Premium),God of War,1,0
38,Sephiroth,12,2,6510,Octaslash,140,64,1400,L'angelo monoala,Final Fantasy,1,0
39,Wolverine,12,2,6510,Berserker Rage,138,63,1350,Il mutante artigliato,Marvel,1,0
40,Ryu,13,2,10075,Hadouken,150,68,1500,Il guerriero del drago,Street Fighter,1,0
41,Ken,13,2,10075,Shoryuken,148,67,1450,Il maestro del drago,Street Fighter,1,0
42,Akuma,13,1,10075,Raging Demon,160,72,0,Il demone furioso (Premium),Street Fighter,1,0
43,Scorpion,14,2,8785,Spear Strike,155,70,1550,Il ninja spettro,Mortal Kombat,1,0
44,Sub-Zero,14,2,8785,Ice Ball,153,69,1500,Il ninja del ghiaccio,Mortal Kombat,1,0
45,Raiden MK,14,1,8785,Lightning Strike,165,74,0,Il dio del tuono (Premium),Mortal Kombat,1,0
46,Solid Snake,15,1,10075,Rocket Launcher,170,76,0,Il soldato leggendario (Premium),Metal Gear,1,0
47,Mega Man,15,2,10075,Mega Buster,165,74,1600,Il robot blu,Mega Man,1,0
48,Hulk,15,2,10075,Hulk Smash,168,75,1650,Il gigante verde,Marvel,1,0
49,Goku,16,1,11400,Kamehameha,180,80,0,Il Saiyan della Terra (Premium),Dragon Ball,1,0
50,Vegeta,16,2,11400,Galick Gun,175,78,1700,Il principe dei Saiyan,Dragon Ball,1,0
51,Piccolo,16,2,11400,Special Beam Cannon,172,77,1650,Il Namecciano guerriero,Dragon Ball,1,0
52,Nathan Drake,17,2,12860,Grenade Launcher,185,82,1750,Il cacciatore di tesori,Uncharted,1,0
53,Lara Croft,17,1,12860,Dual Pistols,190,84,0,L'archeologa avventuriera (Premium),Tomb Raider,1,0
54,Aloy,17,2,12860,Triple Shot,188,83,1800,La cacciatrice di macchine,Horizon,1,0
55,Geralt,18,1,14355,Igni,200,88,0,Lo strigo di Rivia (Premium),The Witcher,1,0
56,Ciri,18,2,14355,Blink Strike,195,86,1850,La principessa di Cintra,The Witcher,1,0
57,Yennefer,18,2,14355,Lightning Bolt,192,85,1800,La maga di Vengerberg,The Witcher,1,0
58,Ezio,19,1,15985,Hidden Blade,210,92,0,L'assassino italiano (Premium),Assassin's Creed,1,0
59,Altair,19,2,15985,Eagle Strike,205,90,1900,Il primo assassino,Assassin's Creed,1,0
60,Venom,19,2,15985,Symbiote Strike,202,89,1850,Il simbionte alieno,Marvel,1,0
61,Goku SSJ,20,1,17650,Super Kamehameha,230,102,0,Goku Super Saiyan (Premium),Dragon Ball,1,0
62,Vegeta SSJ,20,2,17650,Big Bang Attack,225,100,2000,Vegeta Super Saiyan,Dragon Ball,1,0
63,Master Chief,20,2,17650,Spartan Laser,222,99,1950,Lo Spartan-117,Halo,1,0
64,Doom Slayer,21,1,19450,BFG 9000,245,108,0,Il massacratore (Premium),Doom,1,0
65,Shepard,21,2,19450,Biotic Charge,240,106,2050,Il comandante N7,Mass Effect,1,0
66,Gohan SSJ,21,2,19450,Masenko,238,105,2000,Il figlio di Goku,Dragon Ball,1,0
67,Kirby,22,1,21285,Inhale,255,112,0,La palla rosa (Premium),Kirby,1,0
68,Meta Knight,22,2,21285,Galaxia Darkness,250,110,2100,Il cavaliere mascherato,Kirby,1,0
69,Fox McCloud,22,2,21285,Landmaster,248,109,2050,Il pilota della Star Fox,Star Fox,1,0
70,Sora,23,1,23255,Ragnarok,270,118,0,Il portachiavi (Premium),Kingdom Hearts,1,0
71,Riku,23,2,23255,Dark Aura,265,116,2150,L'amico oscuro,Kingdom Hearts,1,0
72,Banjo,23,2,23255,Breegull Bash,262,115,2100,L'orso avventuriero,Banjo-Kazooie,1,0
73,Rayman,24,2,25260,Lockjaw,275,120,2200,L'eroe senza braccia,Rayman,1,0
74,Bayonetta,24,1,25260,Wicked Weave,285,124,0,La strega Umbra (Premium),Bayonetta,1,0
75,Ness,24,2,25260,PK Thunder,280,122,2250,Il ragazzo PSI,Earthbound,1,0
76,Goku SSJ2,25,1,27400,Super Kamehameha x2,300,130,0,Goku Super Saiyan 2 (Premium),Dragon Ball,1,0
77,Vegeta SSJ2,25,2,27400,Final Flash,295,128,2300,Vegeta Super Saiyan 2,Dragon Ball,1,0
78,Pit,25,2,27400,Palutena Bow,292,127,2250,L'angelo di Skyworld,Kid Icarus,1,0
79,Shulk,26,1,29575,Monado Buster,315,136,0,Il visionario (Premium),Xenoblade,1,0
80,Marth,26,2,29575,Critical Hit,310,134,2350,Il principe di Altea,Fire Emblem,1,0
81,Ike,26,2,29575,Aether,308,133,2300,L'eroe radiant,Fire Emblem,1,0
82,Captain Falcon,27,1,31885,Falcon Punch,330,142,0,Il pilota F-Zero (Premium),F-Zero,1,0
83,Chrom,27,2,31885,Awakening,325,140,2400,Il principe esaltato,Fire Emblem,1,0
84,Olimar,27,2,31885,Pikmin Army,322,139,2350,Il capitano Pikmin,Pikmin,1,0
85,Villager,28,2,34230,Pocket,335,144,2450,L'abitante,Animal Crossing,1,0
86,Inkling,28,1,34230,Splat Roller,345,148,0,Il ragazzo calamaro (Premium),Splatoon,1,0
87,Steve,28,2,34230,Diamond Sword,340,146,2500,Il minatore,Minecraft,1,0
88,Ryu Hayabusa,29,1,36710,Izuna Drop,360,154,0,Il ninja drago (Premium),Ninja Gaiden,1,0
89,Sackboy,29,2,36710,Create Platform,355,152,2550,Il pupazzo di stoffa,LittleBigPlanet,1,0
90,Crash Evolved,29,2,36710,Mega Spin,352,151,2500,Crash potenziato,Crash Bandicoot,1,0
91,Goku SSJ3,30,1,39225,Dragon Fist,390,168,0,Goku Super Saiyan 3 (Premium),Dragon Ball,1,0
92,Vegeta SSJ3,30,2,39225,Final Shine Attack,385,166,2600,Vegeta Super Saiyan 3,Dragon Ball,1,0
93,Spyro Elder,30,2,39225,Elder Fire,382,165,2550,Spyro adulto,Spyro,1,0
94,Sonic Super,31,1,41875,Super Sonic Boost,410,176,0,Sonic trasformato (Premium),Sonic,1,0
95,Trunks SSJ,31,2,41875,Burning Attack,405,174,2650,Il figlio di Vegeta,Dragon Ball,1,0
96,Goten SSJ,31,2,41875,Kamekameha,402,173,2600,Il figlio di Goku,Dragon Ball,1,0
97,Cell,32,1,44560,Perfect Kamehameha,430,184,0,L'androide perfetto (Premium),Dragon Ball,1,0
98,Frieza,32,2,44560,Death Beam,425,182,2700,L'imperatore galattico,Dragon Ball,1,0
99,Majin Buu,32,2,44560,Chocolate Beam,422,181,2650,Il demone rosa,Dragon Ball,1,0
100,Beerus,33,1,47380,Hakai,460,196,0,Il dio della distruzione (Premium),Dragon Ball,1,0
101,Whis,33,2,47380,Temporal Do-Over,455,194,2750,L'angelo assistente,Dragon Ball,1,0
102,Hit,33,2,47380,Time Skip,452,193,2700,L'assassino del tempo,Dragon Ball,1,0
103,Jiren,34,1,50235,Power Impact,490,208,0,Il Pride Trooper (Premium),Dragon Ball,1,0
104,Broly,34,2,50235,Gigantic Roar,485,206,2800,Il Saiyan leggendario,Dragon Ball,1,0
105,Gogeta SSJ,34,2,50235,Stardust Breaker,482,205,2750,La fusione Saiyan,Dragon Ball,1,0
106,Goku SSJ4,35,1,53225,10x Kamehameha,520,220,0,Goku Super Saiyan 4 (Premium),Dragon Ball,1,0
107,Vegeta SSJ4,35,2,53225,Final Shine,515,218,2850,Vegeta Super Saiyan 4,Dragon Ball,1,0
108,Gogeta SSJ4,35,2,53225,Big Bang Kamehameha,512,217,2800,La fusione SSJ4,Dragon Ball,1,0
109,Ifrit,36,2,56250,Hellfire,530,224,2900,L'invocazione del fuoco,Final Fantasy,1,0
110,Shiva,36,2,56250,Diamond Dust,528,223,2850,L'invocazione del ghiaccio,Final Fantasy,1,0
111,Ramuh,36,1,56250,Judgment Bolt,540,228,0,L'invocazione del fulmine (Premium),Final Fantasy,1,0
112,Bahamut,37,1,59410,Mega Flare,560,236,0,Il re dei draghi (Premium),Final Fantasy,1,0
113,Leviathan,37,2,59410,Tidal Wave,555,234,2950,Il serpente marino,Final Fantasy,1,0
114,Titan,37,2,59410,Earthen Fury,552,233,2900,Il titano della terra,Final Fantasy,1,0
115,Odin,38,2,62605,Zantetsuken,570,240,3000,Il cavaliere oscuro,Final Fantasy,1,0
116,Alexander,38,2,62605,Divine Judgment,568,239,2950,La fortezza sacra,Final Fantasy,1,0
117,Phoenix,38,1,62605,Rebirth Flame,580,244,0,L'uccello immortale (Premium),Final Fantasy,1,0
118,Knights of Round,39,1,65935,Ultimate End,600,252,0,I cavalieri della tavola (Premium),Final Fantasy,1,0
119,Yojimbo,39,2,65935,Zanmato,595,250,3050,Il samurai mercenario,Final Fantasy,1,0
120,Anima,39,2,65935,Oblivion,592,249,3000,L'invocazione oscura,Final Fantasy,1,0
121,Valefor,40,2,70000,Energy Blast,610,256,3100,L'eone volante,Final Fantasy,1,0
122,Ixion,40,2,70000,Aerospark,608,255,3050,L'eone fulmine,Final Fantasy,1,0
123,Shiva FFX,40,1,70000,Heavenly Strike,620,260,0,L'eone del ghiaccio (Premium),Final Fantasy,1,0
124,Ifrit FFX,41,2,75000,Meteor Strike,625,262,3150,L'eone del fuoco,Final Fantasy,1,0
125,Bahamut FFX,41,1,75000,Mega Flare,640,268,0,Il re degli eoni (Premium),Final Fantasy,1,0
126,Yuna Summoner,41,2,75000,Grand Summon,630,265,3200,L'evocatrice suprema,Final Fantasy,1,0
127,Zodiark,42,1,80000,Final Eclipse,660,276,0,L'Esper oscuro (Premium),Final Fantasy,1,0
128,Ultima Esper,42,2,80000,Redemption,655,274,3250,L'angelo supremo,Final Fantasy,1,0
129,Exodus,42,2,80000,Meteor,652,273,3200,Il giudice divino,Final Fantasy,1,0
130,Arceus,43,1,85000,Judgment,680,284,0,Il dio Pokemon (Premium),Pokemon,1,1
131,Dialga,43,2,85000,Roar of Time,675,282,3300,Il dio del tempo,Pokemon,1,1
